n_nodes,edges,run_idx,best_objective,reference_objective,gap_to_reference,cut_weight,cut_ratio_to_reference,acceptance_rate
10,16,0,-47.0,-47.0,0.0,47.0,1.0,0.013314814814814814
10,16,1,-47.0,-47.0,0.0,47.0,1.0,0.01
10,16,2,-47.0,-47.0,0.0,47.0,1.0,0.0023333333333333335
10,16,3,-47.0,-47.0,0.0,47.0,1.0,0.022351851851851852
10,16,4,-47.0,-47.0,0.0,47.0,1.0,0.011277777777777777
10,16,5,-47.0,-47.0,0.0,47.0,1.0,0.009018518518518518
10,16,6,-47.0,-47.0,0.0,47.0,1.0,0.010129629629629629
10,16,7,-47.0,-47.0,0.0,47.0,1.0,0.022296296296296297
10,16,8,-47.0,-47.0,0.0,47.0,1.0,0.0022592592592592595
10,16,9,-47.0,-47.0,0.0,47.0,1.0,0.016777777777777777
10,16,10,-47.0,-47.0,0.0,47.0,1.0,0.002351851851851852
10,16,11,-47.0,-47.0,0.0,47.0,1.0,0.010203703703703704
10,16,12,-47.0,-47.0,0.0,47.0,1.0,0.0025555555555555557
10,16,13,-47.0,-47.0,0.0,47.0,1.0,0.02227777777777778
10,16,14,-47.0,-47.0,0.0,47.0,1.0,0.024444444444444446
10,16,15,-47.0,-47.0,0.0,47.0,1.0,0.02001851851851852
10,16,16,-47.0,-47.0,0.0,47.0,1.0,0.0022222222222222222
10,16,17,-47.0,-47.0,0.0,47.0,1.0,0.0077777777777777776
10,16,18,-47.0,-47.0,0.0,47.0,1.0,0.014444444444444444
10,16,19,-47.0,-47.0,0.0,47.0,1.0,0.005703703703703704
10,16,20,-47.0,-47.0,0.0,47.0,1.0,0.013481481481481481
10,16,21,-47.0,-47.0,0.0,47.0,1.0,0.010314814814814815
10,16,22,-47.0,-47.0,0.0,47.0,1.0,0.0023888888888888887
10,16,23,-47.0,-47.0,0.0,47.0,1.0,0.010074074074074074
16,53,0,-154.0,-154.0,0.0,154.0,1.0,0.01112962962962963
16,53,1,-154.0,-154.0,0.0,154.0,1.0,0.022907407407407408
16,53,2,-154.0,-154.0,0.0,154.0,1.0,0.011814814814814814
16,53,3,-154.0,-154.0,0.0,154.0,1.0,0.019777777777777776
16,53,4,-146.0,-154.0,8.0,146.0,0.948051948051948,0.008055555555555555
16,53,5,-154.0,-154.0,0.0,154.0,1.0,0.020166666666666666
16,53,6,-154.0,-154.0,0.0,154.0,1.0,0.011907407407407408
16,53,7,-154.0,-154.0,0.0,154.0,1.0,0.021907407407407407
16,53,8,-146.0,-154.0,8.0,146.0,0.948051948051948,0.009092592592592593
16,53,9,-154.0,-154.0,0.0,154.0,1.0,0.023037037037037036
16,53,10,-140.0,-154.0,14.0,140.0,0.9090909090909091,0.00022222222222222223
16,53,11,-154.0,-154.0,0.0,154.0,1.0,0.018796296296296297
16,53,12,-154.0,-154.0,0.0,154.0,1.0,0.013351851851851853
16,53,13,-154.0,-154.0,0.0,154.0,1.0,0.022814814814814816
16,53,14,-154.0,-154.0,0.0,154.0,1.0,0.012796296296296297
16,53,15,-154.0,-154.0,0.0,154.0,1.0,0.021722222222222223
16,53,16,-154.0,-154.0,0.0,154.0,1.0,0.013462962962962963
16,53,17,-154.0,-154.0,0.0,154.0,1.0,0.02298148148148148
16,53,18,-154.0,-154.0,0.0,154.0,1.0,0.01175925925925926
16,53,19,-154.0,-154.0,0.0,154.0,1.0,0.021833333333333333
16,53,20,-154.0,-154.0,0.0,154.0,1.0,0.011277777777777777
16,53,21,-154.0,-154.0,0.0,154.0,1.0,0.02227777777777778
16,53,22,-154.0,-154.0,0.0,154.0,1.0,0.013592592592592592
16,53,23,-140.0,-154.0,14.0,140.0,0.9090909090909091,0.00035185185185185184
24,108,0,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.010222222222222223
24,108,1,-303.0,-313.0,10.0,303.0,0.9680511182108626,0.001574074074074074
24,108,2,-292.0,-313.0,21.0,292.0,0.9329073482428115,0.00687037037037037
24,108,3,-313.0,-313.0,0.0,313.0,1.0,0.0015555555555555555
24,108,4,-313.0,-313.0,0.0,313.0,1.0,0.0003148148148148148
24,108,5,-291.0,-313.0,22.0,291.0,0.9297124600638977,0.002537037037037037
24,108,6,-306.0,-313.0,7.0,306.0,0.9776357827476039,0.012703703703703703
24,108,7,-313.0,-313.0,0.0,313.0,1.0,0.0004074074074074074
24,108,8,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.012666666666666666
24,108,9,-313.0,-313.0,0.0,313.0,1.0,0.0002777777777777778
24,108,10,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.009148148148148148
24,108,11,-313.0,-313.0,0.0,313.0,1.0,0.00014814814814814815
24,108,12,-313.0,-313.0,0.0,313.0,1.0,5.555555555555556e-05
24,108,13,-313.0,-313.0,0.0,313.0,1.0,5.555555555555556e-05
24,108,14,-313.0,-313.0,0.0,313.0,1.0,7.407407407407407e-05
24,108,15,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.02225925925925926
24,108,16,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.01574074074074074
24,108,17,-313.0,-313.0,0.0,313.0,1.0,0.0003148148148148148
24,108,18,-297.0,-313.0,16.0,297.0,0.9488817891373802,0.009203703703703704
24,108,19,-313.0,-313.0,0.0,313.0,1.0,0.0005740740740740741
24,108,20,-313.0,-313.0,0.0,313.0,1.0,0.0003148148148148148
24,108,21,-313.0,-313.0,0.0,313.0,1.0,0.0003148148148148148
24,108,22,-301.0,-313.0,12.0,301.0,0.9616613418530351,0.009203703703703704
24,108,23,-313.0,-313.0,0.0,313.0,1.0,0.0004074074074074074
32,130,0,-380.0,-380.0,0.0,380.0,1.0,0.003351851851851852
32,130,1,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.0006296296296296296
32,130,2,-380.0,-380.0,0.0,380.0,1.0,0.0024814814814814816
32,130,3,-360.0,-380.0,20.0,360.0,0.9473684210526315,0.0005555555555555556
32,130,4,-363.0,-380.0,17.0,363.0,0.9552631578947368,0.004814814814814815
32,130,5,-366.0,-380.0,14.0,366.0,0.9631578947368421,0.006277777777777778
32,130,6,-365.0,-380.0,15.0,365.0,0.9605263157894737,0.0003333333333333333
32,130,7,-378.0,-380.0,2.0,378.0,0.9947368421052631,0.0022592592592592595
32,130,8,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.0006666666666666666
32,130,9,-366.0,-380.0,14.0,366.0,0.9631578947368421,0.006925925925925926
32,130,10,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.0002962962962962963
32,130,11,-367.0,-380.0,13.0,367.0,0.9657894736842105,0.004074074074074074
32,130,12,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.0003333333333333333
32,130,13,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.0003148148148148148
32,130,14,-380.0,-380.0,0.0,380.0,1.0,0.0020925925925925925
32,130,15,-371.0,-380.0,9.0,371.0,0.9763157894736842,0.0002777777777777778
32,130,16,-374.0,-380.0,6.0,374.0,0.9842105263157894,0.0026666666666666666
32,130,17,-378.0,-380.0,2.0,378.0,0.9947368421052631,0.0013333333333333333
32,130,18,-374.0,-380.0,6.0,374.0,0.9842105263157894,0.0011666666666666668
32,130,19,-370.0,-380.0,10.0,370.0,0.9736842105263158,0.0014814814814814814
32,130,20,-380.0,-380.0,0.0,380.0,1.0,0.00412962962962963
32,130,21,-352.0,-380.0,28.0,352.0,0.9263157894736842,0.005666666666666667
32,130,22,-367.0,-380.0,13.0,367.0,0.9657894736842105,0.0021666666666666666
32,130,23,-376.0,-380.0,4.0,376.0,0.9894736842105263,0.00044444444444444447
