dataset,k,bic,log_likelihood
good,1,-7530.312578914422,3772.0640447361934
good,2,-7608.008568439817,3821.273672417364
good,3,-7595.296341921971,3825.279192076914
good,4,-7619.638305199303,3847.8118066340535
good,5,-7602.985091690615,3849.8468327981827
good,6,-7584.648999665634,3851.040419704165
good,7,-7567.134959114648,3852.6450323471454
good,8,-7548.544016485896,3853.7111939512424
bad,1,-29217.9037106811,14617.26962150727
bad,2,-33732.33754193763,16886.963186385616
bad,3,-34159.149255561795,17112.845692447776
bad,4,-34139.48356086085,17115.48949434738
bad,5,-34292.71266630691,17204.58069632049
bad,6,-34307.09799691466,17224.250010874443
bad,7,-34283.21765278454,17224.78648805946
bad,8,-34265.962652151065,17228.635636992803
